iter	Passed	Remaining
918	2256	198
919	2257	196
920	2259	193
921	2261	191
922	2264	188
923	2266	186
924	2268	183
925	2271	181
926	2273	179
927	2275	176
928	2277	174
929	2281	171
930	2283	169
931	2284	166
932	2286	164
933	2287	161
934	2289	159
935	2291	156
936	2300	154
937	2305	152
938	2308	149
939	2311	147
940	2316	145
941	2318	142
942	2320	140
943	2322	137
944	2325	135
945	2327	132
946	2330	130
947	2331	127
948	2334	125
949	2335	122
950	2337	120
951	2341	118
952	2344	115
953	2346	113
954	2349	110
955	2351	108
956	2353	105
957	2357	103
958	2358	100
959	2360	98
960	2362	95
961	2364	93
962	2366	90
963	2368	88
964	2373	86
965	2375	83
966	2377	81
967	2379	78
968	2381	76
969	2383	73
970	2385	71
971	2387	68
972	2388	66
973	2390	63
974	2392	61
975	2394	58
976	2397	56
977	2401	54
978	2403	51
979	2404	49
980	2406	46
981	2408	44
982	2410	41
983	2412	39
984	2414	36
985	2415	34
986	2417	31
987	2418	29
988	2419	26
989	2421	24
990	2423	22
991	2429	19
992	2430	17
993	2432	14
994	2433	12
995	2434	9
996	2436	7
997	2438	4
998	2439	2
999	2441	0
